"ts_month","commodity_name","value"
"2012-08-01 00:00:00","Gold","1629.7652173913043"
"2012-08-01 00:00:00","Iron Ore","115.65217391304348"
"2012-08-01 00:00:00","Nickel","15735.20652173913"
"2012-08-01 00:00:00","Silver","28.932173913043474"
"2012-08-01 00:00:00","Zinc","1818.1630434782608"
"2012-09-01 00:00:00","Copper","3.715638888888889"
"2012-09-01 00:00:00","Gold","1745.232"
"2012-09-01 00:00:00","Iron Ore","105.15"
"2012-09-01 00:00:00","Nickel","17287.9625"
"2012-09-01 00:00:00","Silver","33.777"
"2012-09-01 00:00:00","Zinc","2009.85"
"2012-10-01 00:00:00","Copper","3.67475"
"2012-10-01 00:00:00","Gold","1744.0556521739127"
"2012-10-01 00:00:00","Iron Ore","117.3913043478261"
"2012-10-01 00:00:00","Nickel","17168.739130434784"
"2012-10-01 00:00:00","Silver","33.11217391304348"
"2012-10-01 00:00:00","Zinc","1903.9586956521737"
"2012-11-01 00:00:00","Copper","3.4961874999999996"
"2012-11-01 00:00:00","Gold","1722.4159090909088"
"2012-11-01 00:00:00","Iron Ore","123.04545454545455"
"2012-11-01 00:00:00","Nickel","16335.363636363636"
"2012-11-01 00:00:00","Silver","32.80227272727273"
"2012-11-01 00:00:00","Zinc","1912.3977272727273"
"2012-12-01 00:00:00","Copper","3.627638888888889"
"2012-12-01 00:00:00","Gold","1682.5866666666664"
"2012-12-01 00:00:00","Iron Ore","130.47619047619048"
"2012-12-01 00:00:00","Nickel","17428.404761904763"
"2012-12-01 00:00:00","Silver","31.650000000000006"
"2012-12-01 00:00:00","Zinc","2040.1976190476191"
"2013-01-01 00:00:00","Copper","3.669886363636363"
"2013-01-01 00:00:00","Gold","1670.605217391304"
"2013-01-01 00:00:00","Iron Ore","151.34782608695653"
"2013-01-01 00:00:00","Nickel","17472.5"
"2013-01-01 00:00:00","Silver","31.12217391304348"
"2013-01-01 00:00:00","Zinc","2032.195652173913"
"2013-02-01 00:00:00","Copper","3.6925333333333326"
"2013-02-01 00:00:00","Gold","1626.471"
"2013-02-01 00:00:00","Iron Ore","155.9"
"2013-02-01 00:00:00","Nickel","17690.1"
"2013-02-01 00:00:00","Silver","30.198500000000003"
"2013-02-01 00:00:00","Zinc","2128.6875"
"2013-03-01 00:00:00","Copper","3.462605263157895"
"2013-03-01 00:00:00","Gold","1592.8519047619052"
"2013-03-01 00:00:00","Iron Ore","142"
"2013-03-01 00:00:00","Nickel","16724.928571428572"
"2013-03-01 00:00:00","Silver","28.7885"
"2013-03-01 00:00:00","Zinc","1926.0714285714287"
"2013-04-01 00:00:00","Copper","3.2803611111111106"
"2013-04-01 00:00:00","Gold","1484.6327272727274"
"2013-04-01 00:00:00","Iron Ore","139.63636363636363"
"2013-04-01 00:00:00","Nickel","15672.954545454546"
"2013-04-01 00:00:00","Silver","25.211818181818185"
"2013-04-01 00:00:00","Zinc","1856.0045454545455"
"2013-05-01 00:00:00","Copper","3.2994047619047624"
"2013-05-01 00:00:00","Gold","1415.8208695652174"
"2013-05-01 00:00:00","Iron Ore","128.7826086956522"
"2013-05-01 00:00:00","Nickel","14947.95652173913"
"2013-05-01 00:00:00","Silver","23.031304347826083"
"2013-05-01 00:00:00","Zinc","1831.554347826087"
"2013-06-01 00:00:00","Copper","3.166611111111111"
"2013-06-01 00:00:00","Gold","1341.5985000000003"
"2013-06-01 00:00:00","Iron Ore","116.95"
"2013-06-01 00:00:00","Nickel","14280.275"
"2013-06-01 00:00:00","Silver","21.067999999999998"
"2013-06-01 00:00:00","Zinc","1839.0125"
"2013-07-01 00:00:00","Copper","3.1434761904761905"
"2013-07-01 00:00:00","Gold","1287.0995652173915"
"2013-07-01 00:00:00","Iron Ore","127.6304347826087"
"2013-07-01 00:00:00","Nickel","13750.315217391304"
"2013-07-01 00:00:00","Silver","19.669130434782602"
"2013-07-01 00:00:00","Zinc","1837.6195652173913"
"2013-08-01 00:00:00","Copper","3.2790238095238093"
"2013-08-01 00:00:00","Gold","1352.9454545454546"
"2013-08-01 00:00:00","Iron Ore","137.72727272727272"
"2013-08-01 00:00:00","Nickel","14314.931818181818"
"2013-08-01 00:00:00","Silver","22.093636363636364"
"2013-08-01 00:00:00","Zinc","1898.8181818181818"
"2013-09-01 00:00:00","Copper","3.2705263157894744"
"2013-09-01 00:00:00","Gold","1350.3147619047622"
"2013-09-01 00:00:00","Iron Ore","136.5"
"2013-09-01 00:00:00","Nickel","13801.392857142857"
"2013-09-01 00:00:00","Silver","22.55"
"2013-09-01 00:00:00","Zinc","1846.8809523809523"
"2013-10-01 00:00:00","Copper","3.283452380952381"
"2013-10-01 00:00:00","Gold","1315.0934782608697"
"2013-10-01 00:00:00","Iron Ore","134.06521739130434"
"2013-10-01 00:00:00","Nickel","14117.652173913044"
"2013-10-01 00:00:00","Silver","21.95086956521739"
"2013-10-01 00:00:00","Zinc","1884.8369565217392"
"2013-11-01 00:00:00","Copper","3.2187222222222216"
"2013-11-01 00:00:00","Gold","1274.4133333333334"
"2013-11-01 00:00:00","Iron Ore","136.76190476190476"
"2013-11-01 00:00:00","Nickel","13684.011904761905"
"2013-11-01 00:00:00","Silver","20.656666666666666"
"2013-11-01 00:00:00","Zinc","1866.4166666666667"
"2013-12-01 00:00:00","Copper","3.3324642857142854"
"2013-12-01 00:00:00","Gold","1221.026818181818"
"2013-12-01 00:00:00","Iron Ore","137.8181818181818"
"2013-12-01 00:00:00","Nickel","13940.40909090909"
"2013-12-01 00:00:00","Silver","19.609545454545458"
"2013-12-01 00:00:00","Zinc","1984.7045454545455"
"2014-01-01 00:00:00","Copper","3.3502368421052626"
"2014-01-01 00:00:00","Gold","1243.4504347826087"
"2014-01-01 00:00:00","Iron Ore","132.56521739130434"
"2014-01-01 00:00:00","Nickel","14089.54347826087"
"2014-01-01 00:00:00","Silver","19.85"
"2014-01-01 00:00:00","Zinc","2037.6304347826087"
"2014-02-01 00:00:00","Copper","3.277625"
"2014-02-01 00:00:00","Gold","1302.0449999999998"
"2014-02-01 00:00:00","Iron Ore","123.3"
"2014-02-01 00:00:00","Nickel","14203.55"
"2014-02-01 00:00:00","Silver","20.851999999999997"
"2014-02-01 00:00:00","Zinc","2034.525"
"2014-03-01 00:00:00","Copper","3.074175"
"2014-03-01 00:00:00","Gold","1334.4790476190476"
"2014-03-01 00:00:00","Iron Ore","111.85714285714286"
"2014-03-01 00:00:00","Nickel","15678.095238095239"
"2014-03-01 00:00:00","Silver","20.62047619047619"
"2014-03-01 00:00:00","Zinc","2008.9404761904761"
"2014-04-01 00:00:00","Copper","3.0657857142857146"
"2014-04-01 00:00:00","Gold","1298.3036363636365"
"2014-04-01 00:00:00","Iron Ore","114.54545454545455"
"2014-04-01 00:00:00","Nickel","17419.363636363636"
"2014-04-01 00:00:00","Silver","19.66818181818182"
"2014-04-01 00:00:00","Zinc","2030.659090909091"
"2014-05-01 00:00:00","Copper","3.13455"
"2014-05-01 00:00:00","Gold","1287.828181818182"
"2014-05-01 00:00:00","Iron Ore","101.36363636363636"
"2014-05-01 00:00:00","Nickel","19357.409090909092"
"2014-05-01 00:00:00","Silver","19.295"
"2014-05-01 00:00:00","Zinc","2059.7272727272725"
"2014-06-01 00:00:00","Copper","3.0957631578947367"
"2014-06-01 00:00:00","Gold","1282.2100000000003"
"2014-06-01 00:00:00","Iron Ore","92.33333333333333"
"2014-06-01 00:00:00","Nickel","18628.809523809523"
"2014-06-01 00:00:00","Silver","19.857142857142854"
"2014-06-01 00:00:00","Zinc","2129.1666666666665"
"2014-07-01 00:00:00","Copper","3.227904761904762"
"2014-07-01 00:00:00","Gold","1311.2499999999998"
"2014-07-01 00:00:00","Iron Ore","96.26086956521739"
"2014-07-01 00:00:00","Nickel","19117.652173913044"
"2014-07-01 00:00:00","Silver","20.86565217391304"
"2014-07-01 00:00:00","Zinc","2311.2608695652175"
"2014-08-01 00:00:00","Copper","3.1588000000000003"
"2014-08-01 00:00:00","Gold","1295.327142857143"
"2014-08-01 00:00:00","Iron Ore","94.14285714285714"
"2014-08-01 00:00:00","Nickel","18603.428571428572"
"2014-08-01 00:00:00","Silver","19.686666666666664"
"2014-08-01 00:00:00","Zinc","2328.559523809524"
"2014-09-01 00:00:00","Copper","3.0982894736842104"
"2014-09-01 00:00:00","Gold","1237.7654545454543"
"2014-09-01 00:00:00","Iron Ore","84.52272727272727"
"2014-09-01 00:00:00","Nickel","18034.795454545456"
"2014-09-01 00:00:00","Silver","18.384999999999994"
"2014-09-01 00:00:00","Zinc","2296.2045454545455"
"2014-10-01 00:00:00","Copper","3.0324750000000003"
"2014-10-01 00:00:00","Gold","1222.7130434782607"
"2014-10-01 00:00:00","Iron Ore","81.30434782608695"
"2014-10-01 00:00:00","Nickel","15812.369565217392"
"2014-10-01 00:00:00","Silver","17.14260869565217"
"2014-10-01 00:00:00","Zinc","2277.032608695652"
"2014-11-01 00:00:00","Copper","3.005423076923077"
"2014-11-01 00:00:00","Gold","1176.498"
"2014-11-01 00:00:00","Iron Ore","74.425"
"2014-11-01 00:00:00","Nickel","15807.05"
"2014-11-01 00:00:00","Silver","15.969999999999999"
"2014-11-01 00:00:00","Zinc","2254.1875"
"2014-12-01 00:00:00","Copper","2.9022750000000004"
"2014-12-01 00:00:00","Gold","1199.0154545454543"
"2014-12-01 00:00:00","Iron Ore","68.67391304347827"
"2014-12-01 00:00:00","Nickel","15901"
"2014-12-01 00:00:00","Silver","16.17782608695652"
"2014-12-01 00:00:00","Zinc","2174.8478260869565"
"2015-01-01 00:00:00","Copper","2.6532249999999995"
"2015-01-01 00:00:00","Gold","1251.054090909091"
"2015-01-01 00:00:00","Iron Ore","69.06818181818181"
"2015-01-01 00:00:00","Nickel","14859.40909090909"
"2015-01-01 00:00:00","Silver","17.11318181818182"
"2015-01-01 00:00:00","Zinc","2117.2954545454545"
"2015-02-01 00:00:00","Copper","2.6189722222222227"
"2015-02-01 00:00:00","Gold","1226.6155"
"2015-02-01 00:00:00","Iron Ore","63.8"
"2015-02-01 00:00:00","Nickel","14573.8375"
"2015-02-01 00:00:00","Silver","16.772999999999996"
"2015-02-01 00:00:00","Zinc","2099.225"
"2015-03-01 00:00:00","Copper","2.707931818181818"
"2015-03-01 00:00:00","Gold","1179.0304545454546"
"2015-03-01 00:00:00","Iron Ore","58.18181818181818"
"2015-03-01 00:00:00","Nickel","13755.5"
"2015-03-01 00:00:00","Silver","16.21181818181818"
"2015-03-01 00:00:00","Zinc","2030.9545454545455"
"2015-04-01 00:00:00","Copper","2.7552999999999996"
"2015-04-01 00:00:00","Gold","1199.818181818182"
"2015-04-01 00:00:00","Iron Ore","52.11363636363637"
"2015-04-01 00:00:00","Nickel","12844.204545454546"
"2015-04-01 00:00:00","Silver","16.337727272727275"
"2015-04-01 00:00:00","Zinc","2205.431818181818"
"2015-05-01 00:00:00","Copper","2.8933750000000003"
"2015-05-01 00:00:00","Gold","1198.5719047619048"
"2015-05-01 00:00:00","Iron Ore","60.42857142857143"
"2015-05-01 00:00:00","Nickel","13487.52380952381"
"2015-05-01 00:00:00","Silver","16.814047619047617"
"2015-05-01 00:00:00","Zinc","2279.8571428571427"
"2015-06-01 00:00:00","Copper","2.673404761904762"
"2015-06-01 00:00:00","Gold","1181.9022727272727"
"2015-06-01 00:00:00","Iron Ore","61.84090909090909"
"2015-06-01 00:00:00","Nickel","12825.227272727272"
"2015-06-01 00:00:00","Silver","16.053522727272725"
"2015-06-01 00:00:00","Zinc","2084.306818181818"
"2015-07-01 00:00:00","Copper","2.489375"
"2015-07-01 00:00:00","Gold","1130.2004347826085"
"2015-07-01 00:00:00","Iron Ore","52.17391304347826"
"2015-07-01 00:00:00","Nickel","11413.097826086956"
"2015-07-01 00:00:00","Silver","15.06203043478261"
"2015-07-01 00:00:00","Zinc","2005.304347826087"
"2015-08-01 00:00:00","Copper","2.336794117647059"
"2015-08-01 00:00:00","Gold","1119.1209523809525"
"2015-08-01 00:00:00","Iron Ore","57.333333333333336"
"2015-08-01 00:00:00","Nickel","10369.190476190477"
"2015-08-01 00:00:00","Silver","14.913333333333334"
"2015-08-01 00:00:00","Zinc","1812.7738095238096"
"2015-09-01 00:00:00","Copper","2.3715952380952383"
"2015-09-01 00:00:00","Gold","1124.9495454545458"
"2015-09-01 00:00:00","Iron Ore","56.97727272727273"
"2015-09-01 00:00:00","Nickel","9937.545454545454"
"2015-09-01 00:00:00","Silver","14.743181818181819"
"2015-09-01 00:00:00","Zinc","1733.5681818181818"
"2015-10-01 00:00:00","Copper","2.3692894736842107"
"2015-10-01 00:00:00","Gold","1157.5031818181817"
"2015-10-01 00:00:00","Iron Ore","53.65909090909091"
"2015-10-01 00:00:00","Nickel","10316.829545454546"
"2015-10-01 00:00:00","Silver","15.742727272727269"
"2015-10-01 00:00:00","Zinc","1746.659090909091"
"2015-11-01 00:00:00","Copper","2.137888888888889"
"2015-11-01 00:00:00","Gold","1084.5714285714284"
"2015-11-01 00:00:00","Iron Ore","47.19047619047619"
"2015-11-01 00:00:00","Nickel","9244.333333333334"
"2015-11-01 00:00:00","Silver","14.426904761904758"
"2015-11-01 00:00:00","Zinc","1577.8333333333333"
"2015-12-01 00:00:00","Copper","2.0808"
"2015-12-01 00:00:00","Gold","1068.53347826087"
"2015-12-01 00:00:00","Iron Ore","40.88260869565217"
"2015-12-01 00:00:00","Nickel","8698.369565217392"
"2015-12-01 00:00:00","Silver","14.08052173913043"
"2015-12-01 00:00:00","Zinc","1544.840909090909"
"2016-01-01 00:00:00","Copper","2.004277777777778"
"2016-01-01 00:00:00","Gold","1096.1638095238095"
"2016-01-01 00:00:00","Iron Ore","42.204761904761895"
"2016-01-01 00:00:00","Nickel","8520.27380952381"
"2016-01-01 00:00:00","Silver","14.058761904761907"
"2016-01-01 00:00:00","Zinc","1529.357142857143"
"2016-02-01 00:00:00","Copper","2.0718611111111107"
"2016-02-01 00:00:00","Gold","1201.2019047619044"
"2016-02-01 00:00:00","Iron Ore","46.48571428571427"
"2016-02-01 00:00:00","Nickel","8298.5"
"2016-02-01 00:00:00","Silver","15.115142857142857"
"2016-02-01 00:00:00","Zinc","1712.921052631579"
"2016-03-01 00:00:00","Copper","2.231642857142857"
"2016-03-01 00:00:00","Gold","1243.3526086956522"
"2016-03-01 00:00:00","Iron Ore","56.5391304347826"
